id,file_name,name,date_detected,time_detected
2201211617,unknown-face_22-01-21_16-17,unknown-face,22-01-21,16-17
2201211617,unknown-face_22-01-21_16-17,unknown-face,22-01-21,16-17
2201211621,unknown-face_22-01-21_16-21,unknown-face,22-01-21,16-21
